Id,Lat,Lng,Name,Count
1035996,25.059276596,121.5211324,"台北市文昌宮",154
32207,25.026420593,121.53474056,"台北市大安區戶政事務所",62
236987708,25.018065974,121.530753481,"小蒙牛 - 公館店",12
845276,25.055950116,121.528282967,"中原公園",2
251103415,25.110875191,121.530304898,"多摩食堂-日式料理",5
252753043,25.070692308,121.519357421,"7-11圓泉門市",3
39644894,25.097174936,121.544468212,"觀想 Guan Xiang",4
293404903,25.017456901,121.538264222,"椰林大道辦桌",2
129620,25.047010216,121.534979241,"346倉庫餐廳",44
29639902,25.031895,121.530083,"公園裡咖啡 Café in the park",4
3873033,25.054588265,121.611609969,"Page one",1
244187518,25.030052559,121.533489358,"Mr J 滕原豆腐店",3
30508144,25.042781523,121.516261028,"二二八和平紀念公園(台北新公園)",14
5896939,25.020151614,121.528946478,"公車羅斯福辛亥路口",21
6879555,25.030625696,121.557479423,"公車光復南路口站 Bus Guangfu S. Rd. Entrance Sta.",29
1904589,25.067524,121.515941,"神密的遛狗地方",3
2882310,25.038576,121.507176,"電影大樓。",9
110964769,25.040878348,121.553114383,"麵屋武藏 虎嘯",1306
155416600,24.987046312,121.570979635,"木南公園 Munan Park",2
98666989,25.032082696,121.530602453,"曼都髮型 Mentor Hair Stylist",3
41764593,25.084287131,121.511721269,"葫東重慶路口",33
8667527,25.056090546,121.507293938,"爐煱咖啡",18
26615,25.136613601,121.50634465,"北投圖書館",1171
105262444,25.105334,121.522939,"Subway 天母家樂福店",2
4080706,25.052165645,121.541173365,"六福皇宫 留園",15
237367565,25.079884718,121.567766706,"仁寶電腦",10
3071202,25.015194,121.532929,"翠林越南餐廳（公館）",7
1043383,25.044144988,121.512872,"台灣省城隍廟",52
285068721,24.990128647,121.541076172,"景美永和豆漿",1
251940652,25.026585848,121.533993493,"象山",2
231252259,25.049080912,121.534555509,"尚月",1
270508296,25.029587203,121.562232875,"綠逗薏人-莊敬店",1
253655376,25.012476094,121.533184565,"公館二手市集",4
5548705,25.013121117,121.542845888,"台灣科技大學 第一學生宿舍",27
3932440,25.035992275,121.505789094,"龍山國民中學",21
57638586,25.006059647,121.477073669,"星巴克starbucks Coffee",47
135679837,25.049541473,121.566879272,"微風南京 Breeze NAN JIN",3
76631653,25.135586482,121.518876967,"善光寺",12
47843283,25.04090992,121.575873206,"公車捷運永春站 Bus MRT YongChun Sta.",38
1010308,25.053351019,121.537387797,"美兆台北健康管理醫學中心‎ MJ Life Taipei Center",6
9627820,24.992987,121.501048,"Guam",87
10499058,25.060434353,121.536785663,"HIM International Music Inc.",2
49883193,25.022303864,121.550421499,"親勝小火鍋",2
104720508,25.071528885,121.526297984,"花之隧道",10
1236744,24.962932094,121.539570374,"碧潭派出所",7
234934190,25.054777317,121.561902622,"Rose Mary 螺絲瑪麗",8
122045117,25.041896678,121.579618486,"丹堤咖啡",8
216063,24.987782483,121.551715428,"全聯木柵店",2
3304967,25.035132515,121.558165062,"陽春商號",9
3828233,25.047681,121.558038,"新浪台灣辦公室（美商華淵資訊）",16
83389419,25.052140937,121.548928091,"Sunworld Dynasty Hotel | Taipei 台北王朝大酒店",11
206661966,25.117068336,121.533830699,"KiKi restaurant",29
259488,24.992854679,121.517153238,"大世界豆漿",8
270376808,25.003696927,121.463695371,"後埔國小",4
55950134,25.076343472,121.599783474,"內湖星雲街Sweet Home",7
15732346,25.034148971,121.56421858,"Michael Kors 台北101專賣店",9
232464540,25.077461752,121.56809244,"國道一號 高架 松山機場",1
11016591,25.063447397,121.576636763,"Eaton Corp.",1
282320002,25.11067536,121.51466403,"7-11統勝門市",1
548729,25.054883,121.521925,"A Hair Salon",1
2068555,25.039137389,121.568769475,"行政院公共工程委員會",1
5435405,25.010901239,121.536400965,"The WALL 公館",104
135760,25.107556529,121.525038118,"Smith & Hsu (天母）",437
247105682,25.073316347,121.489611826,"清境農場",4
94008117,25.06396446,121.577361301,"uno coffee",7
106571979,25.022213421,121.534003539,"Galette 葛樂蒂咖啡館",69
2548148,25.018824891,121.531417597,"麥子磨麵公館店",15
728288,25.026971,121.484814,"華翠橋下板橋端",8
13259003,25.037095042,121.553259582,"诚品书店",23
264586194,25.097481671,121.521594887,"新光醫院10樓",1
222000687,25.053538622,121.600268325,"松山火車站 TRA Songshan Station",7
44440928,25.081466675,121.564292908,"My Coffee",2
62980747,25.06724,121.488505,"萬旺寵物世界",5
273407808,25.048996511,121.536553144,"川越駅串燒",3
2563611,25.066032,121.51607891,"中華民國路跑協會",9
271592142,25.056733238,121.561537932,"小草 作 Grassphere",3
214841419,25.136522736,121.507130438,"Beitou Hot Springs",30
74622494,25.02559166,121.53890427,"公車龍門國中站",4
109932655,24.971601,121.541273,"四季發爺",1
408114,25.051981037,121.540191892,"甜橘南京店",79
1889959,25.043048126,121.521156942,"辦公大樓",1
1254624,24.965772903,121.540806609,"七張米粉湯",26
260672786,25.049932506,121.507364236,"玉泉公園游泳池",1
946830,25.046136834,121.539848776,"中油中崙球場",25
10076821,25.057377934,121.547842026,"World Gym Elite",205
142474589,25.037791857,121.577632068,"阿幸鮮打果汁^_^",1
259416345,25.03685515,121.543937948,"復興南路博多拉麵",1
133525680,25.062965661,121.519350274,"一之軒 IJYSHENG",2
254676906,25.033138919,121.535341496,"捷運象山線上",3
24363238,25.064960296,121.53162279,"上品魚翅",9
4812534,25.032658877,121.530606984,"MORITA CAFE",129
11407898,25.050575,121.543417,"御采日本料理",3
10333673,25.049354153,121.571704513,"八德立體停車場",11
1703513,25.051546,121.555099,"Era Ogilvy (世紀奧美公關顧問)",19
266524954,25.038223284,121.544818792,"仁愛路四段",1
100907068,25.024489823,121.522456164,"郭記牛肉麵店",2
82813792,25.033871203,121.527480056,"義美食品",1
113484356,24.974675699,121.530970444,"珍鱻平價海鮮",1
768836,25.110224141,121.511805453,"石牌派出所",4
108277105,24.998999,121.46225,"阿舜牛排",2
9500415,25.084581603,121.519871645,"我家",7
237668078,25.107876556,121.528939112,"森巴披薩坊台北 - Samba Pizza Taipei",1
125653,25.022613351,121.523622197,"王貫英紀念圖書館",33
90407782,25.00125158,121.497088002,"客滿炭火燒烤",6
239690527,24.968793297,121.591617518,"貓空∕大茶壺餐廳",21
164060054,25.079248,121.599346,"MOS Burger 摩斯漢堡",1
46179032,25.03922819,121.543732316,"Carnival 嘉裕西服",1
51136053,25.019487,121.530576,"Aura微光咖啡",2
9068054,25.041078067,121.550154528,"Party De Angelos",20
41857773,25.013847,121.534081,"水源市場-清華軒",1
10966357,25.048800012,121.526665989,"基隆海鮮和式料理",7
56789454,25.083067035,121.596091796,"巴西里小酒館",14
358305,25.040957,121.464359,"IKEA 新莊店",14
269566802,24.985941764,121.578313385,"國立政治大學井塘樓",4
266627814,25.005745859,121.477539013,"翠亨村港式飲茶",4
160028,25.00895693,121.510617643,"于記杏仁豆腐（樂華夜市）",16
251802809,25.021947943,121.535880655,"國立台灣大學凝態科學中心",2
14212949,25.037747231,121.544373438,"Taipei City Hospital Renai Branch",4
379620,25.063299702,121.501114715,"Mos Burger (三重重新店)",13
1312322,25.006408931,121.483891444,"國華人壽商業大樓",1
39634159,25.043283697,121.527199907,"Beccafico",328
33909901,24.982671307,121.534704111,"新店區民權路",7
888407,25.133564,121.539416013,"The Top",126
267452861,24.996022566,121.571751764,"台北市立木柵高工",1
13889019,25.038336773,121.52540803,"公車仁愛杭州路口站",9
263097068,25.039903805,121.554801381,"佃權おでん",8
94114917,25.043410778,121.563583143,"T.G.I.FRiDAY'S",2
255212274,25.041927801,121.516950731,"台大醫院骨科部",1
23443374,25.049839094,121.528266239,"楽市楽座",22
251017480,25.125933214,121.516336354,"文化大學大成館",1
65753386,24.980069274,121.554480398,"景美溪",17
97713273,25.061126122,121.50148371,"E7PLAY三重館",69
95639795,25.043527609,121.555567414,"淨慈創意蔬食",10
543525,25.039072,121.548939,"公車仁愛敦化路口站",2
48323863,24.999811974,121.499062336,"小茶哉堂",6
429215,25.030018382,121.528076666,"巴哈咖啡館",18
2458105,24.993759555,121.495526359,"北城烤鴨",2
256694614,25.041696617,121.539988413,"文慶雞新加坡文東記雞飯 台北直營店",4
1525692,25.13182584,121.501963513,"蔡元益紅茶",26
227537816,25.108518997,121.526200058,"Taipei 101",4
87326282,24.982882,121.536028,"TiMotion",3
6798466,25.027634299,121.562836221,"小捲家",26
36968090,25.038190964,121.542348862,"Fritz Hansen",8
96309235,25.02054319,121.544696786,"台大國青宿舍",12
96366570,25.081892067,121.531291042,"Gratin House",1
10581607,25.045137489,121.557629929,"巿民大道光復南路匝道",34
219176927,25.062782113,121.542356538,"Bellini Café",4
2399311,24.98287,121.533928,"雲南傣族小吃店",14
8106216,25.081394179,121.551548189,"永安產後護理中心",2
12573632,25.027414731,121.552657532,"cama現烘咖啡專賣店",2
45536383,25.044262,121.525735,"丹堤咖啡",7
270444295,25.054797777,121.521137487,"SART Tattoo.design",4
100249521,25.047988941,121.555134952,"五味臭臭鍋",2
3548821,25.063241,121.580616,"壹周刊",2
227597752,25.061372613,121.578562744,"大潤發 RT-mart",2
237537261,24.979645354,121.556635647,"台北市立圖書館力行分館",3
5049320,24.989058064,121.569377482,"巧味香豆漿王",15
53462,25.019817648,121.542134285,"台大電機資訊學院博理館",5
835004,25.032770884,121.543228686,"Le Corner",36
256815195,25.049272203,121.578110608,"Citylink 涓豆腐",9
132191429,25.057981304,121.532508269,"荷歡足體養生館",2
181500604,25.058813095,121.48475647,"聯邦排骨羹赤肉羹魯肉飯",1
16695,25.032832,121.567382,"世貿二館",8
4625943,25.019687184,121.548078271,"和平高中",19
191052560,25.0604,121.498284,"Star Hotel",3
658859,25.058969766,121.547199909,"聚園餐廳",20
5050129,24.99640912,121.490144102,"公車大同公司站",15
271930,25.044449404,121.518940969,"台大醫院兒童醫療大樓（台大兒童醫院）",242
42441080,25.059296,121.558037,"周胖子 - 民生店",1
274706359,25.025453831,121.551370409,"Cafe De Riz",5
58001,25.000338181,121.485082034,"國道3號中和交流道",19
10521303,25.037918704,121.53762196,"Flower Market Taipei",59
142187558,25.047241,121.540322,"彰化肉圓",2
264637247,24.998875799,121.511046044,"Bald Fatty Bistro",2
11028494,25.134468255,121.502440899,"麻布廚房",13
259482798,25.045000372,121.522153094,"喜來登蘇可泰",3
266484395,25.077468525,121.572282008,"中租控股內湖總部大樓",2
8145465,24.997065467,121.544652186,"巨林美而美 景興店",7
12926889,25.01490052,121.516471484,"阿里郎",34
46093668,25.051994622,121.546324658,"New Media Publishing",25
269622187,25.002268402,121.495423689,"家樂福中和",2
240582595,25.056085181,121.543728059,"暴走食舖",19
237637045,25.03607076,121.519259926,"中正紀念館自由廣場",6
63701228,25.055779436,121.542210332,"綠逗薏人",1
2802500,25.042650113,121.518435776,"台北車站(青島)",2
17205789,25.037568225,121.557646652,"佳恩牙醫診所",18
215622673,25.052219927,121.523967391,"Smith And Hsu中山店",10
215592461,25.058324603,121.510459372,"大稻程公園",3
63918651,24.996387795,121.520995235,"星巴克-愛買門市",10
116900725,25.06910125,121.58743265,"宇恆動物醫院",2
23835,25.08388,121.556144667,"八海火鍋",5
147221203,24.999282621,121.555472649,"魚舞",9
20669346,25.044802563,121.52295243,"公車捷運善導寺站",3
217044039,25.015409059,121.515978908,"世界豆漿大王",7
271414227,25.000115026,121.565976421,"想想影像俱樂部",1
257590061,25.046242988,121.550826932,"Lily法式薄餅咖啡",2
8438041,24.982895744,121.56887277,"景美溪河堤",6
267395715,25.052157402,121.535928309,"戰略高手",1
14426,25.029279804,121.569989862,"中強公園",189
